epoch,train_loss,val_loss,val_AUROC,dataset,variant,seed
1,0.5027247952918211,0.5175912082195282,0.5506859841225167,rel-trial,llm-partial2,42
2,0.500064704567194,0.514565497636795,0.6172114778925926,rel-trial,llm-partial2,42
3,0.4873963433007399,0.4933500438928604,0.6202270381836946,rel-trial,llm-partial2,42
4,0.4744165105124314,0.4827695041894912,0.6525851169814019,rel-trial,llm-partial2,42
5,0.4651780873537063,0.491669163107872,0.6550824476521071,rel-trial,llm-partial2,42
6,0.4615068448086579,0.4811447858810425,0.659840331666957,rel-trial,llm-partial2,42
7,0.4518080813189347,0.4905665218830108,0.6582499028319462,rel-trial,llm-partial2,42
8,0.4436053050061067,0.4943686574697494,0.6571330286500565,rel-trial,llm-partial2,42
9,0.4404890971879164,0.4871178865432739,0.6602647438560751,rel-trial,llm-partial2,42
10,0.4379301394025485,0.4869056046009063,0.6630569293107993,rel-trial,llm-partial2,42
11,0.4303241806725661,0.5217452347278595,0.6564271641671022,rel-trial,llm-partial2,42
12,0.4232124971846739,0.5134903937578201,0.649708049088854,rel-trial,llm-partial2,42
13,0.4174867110947768,0.5166673958301544,0.6517050201260728,rel-trial,llm-partial2,42
14,0.4112964185575644,0.5324169993400574,0.6369153722094899,rel-trial,llm-partial2,42
15,0.4085952043533325,0.5559384226799011,0.6397857388569463,rel-trial,llm-partial2,42
16,0.4061876957615216,0.5402016043663025,0.6365423362327387,rel-trial,llm-partial2,42
1,0.5026851619283358,0.5186237692832947,0.4988473858442898,rel-trial,llm-partial2,43
2,0.4989896280070146,0.5043504238128662,0.6154780891622997,rel-trial,llm-partial2,43
3,0.4836721569299698,0.4926526546478271,0.6317665822309784,rel-trial,llm-partial2,43
4,0.4719641345242659,0.4804029166698456,0.6548143978484535,rel-trial,llm-partial2,43
5,0.4633867653707663,0.4807235151529312,0.6623957397951207,rel-trial,llm-partial2,43
6,0.4589983808497588,0.4798760712146759,0.6598582016538673,rel-trial,llm-partial2,43
7,0.4528860958913962,0.4895481169223785,0.6550556426717418,rel-trial,llm-partial2,43
8,0.4465226965645949,0.4866519868373871,0.6681320055933059,rel-trial,llm-partial2,43
9,0.4399591572582721,0.4931083172559738,0.6682749654885878,rel-trial,llm-partial2,43
10,0.4334445024530093,0.5005899667739868,0.6595678143665761,rel-trial,llm-partial2,43
11,0.42811335871617,0.5015226900577545,0.6596839692814924,rel-trial,llm-partial2,43
12,0.4213566283384959,0.5116241574287415,0.6426360017691288,rel-trial,llm-partial2,43
13,0.4137529258926709,0.537558376789093,0.6539119635094868,rel-trial,llm-partial2,43
14,0.4147642950216929,0.5116734951734543,0.6460893767395315,rel-trial,llm-partial2,43
15,0.4039806239306927,0.5216882228851318,0.6416799574694312,rel-trial,llm-partial2,43
1,0.5023556500673294,0.5202746391296387,0.5006477870254961,rel-trial,llm-partial2,44
