dataset,backbone,mode,seed,AUROC,AUPRC,precision,recall,f1,params,train_s
rel-stack,SAGE,MPNN-D,42,0.8780600153333087,0.3085984711465187,0.3633141338059371,0.3401078390709249,0.35132819144570265,3033985,2356.0238711833954
rel-stack,SAGE,MPNN-D,43,0.875218795757517,0.2997630247262493,0.3625349487418453,0.3226876814599751,0.34145270961799545,3033985,2175.808949947357
rel-stack,SAGE,MPNN-D,44,0.8802651361139262,0.3107157126619406,0.33006412674462465,0.3629199502281211,0.345713156356122,3033985,2311.432037830353
rel-stack,SAGE,MPNN-U,42,0.8749618659651024,0.28360241322845964,0.34663234663234666,0.33513065118208213,0.3407844786228753,3033985,1577.1874849796295
rel-stack,SAGE,MPNN-U,43,0.8706598710465447,0.2898321754600264,0.30678260869565216,0.3658233098299461,0.3337116907637845,3033985,1577.6072871685028
rel-stack,SAGE,MPNN-U,44,0.8679095745738902,0.27429544389379323,0.3172333848531685,0.3405226047283285,0.32846569263925457,3033985,1143.2476778030396
rel-stack,SAGE,Dir-GNN,42,0.8656136375795315,0.2765333847040891,0.3142402545743834,0.32766486934881794,0.32081218224133545,3757697,1060.5323467254639
rel-stack,SAGE,Dir-GNN,43,0.8803357800614358,0.31723636995845406,0.3397219090567456,0.3749481542928246,0.35646687647282366,3757697,2630.4705336093903
rel-stack,SAGE,Dir-GNN,44,0.8794098643410994,0.31464939601946984,0.3281767955801105,0.3695562007465782,0.3476394844802993,3757697,2630.449190378189
rel-stack,GAT,MPNN-D,42,0.865815566563241,0.2781786715820483,0.34100135317997293,0.31356283699709664,0.32670700036518285,5219201,1023.2426762580872
rel-stack,GAT,MPNN-D,43,0.8754956044917748,0.3233109479860005,0.34499623777276145,0.3803401078390709,0.3618070620381767,5219201,2265.869640350342
rel-stack,GAT,MPNN-D,44,0.8813912407580383,0.33492969756395985,0.3386923901393355,0.3931978432185815,0.3639155465277252,5219201,2349.891072511673
rel-stack,GAT,MPNN-U,42,0.8741874274335971,0.31061585763032323,0.3082345402114707,0.3990045624222314,0.3477946488213236,5219201,2908.6148319244385
rel-stack,GAT,MPNN-U,43,0.8721598872266162,0.3160614126545422,0.3657468243539203,0.3463293239319784,0.35577332715269394,5219201,3115.5306918621063
rel-stack,GAT,MPNN-U,44,0.8700552499355718,0.29830498666840566,0.32387190684133915,0.36914143508917463,0.3450281057242696,5219201,2084.597685813904
rel-stack,GAT,Dir-GNN,42,0.8689057912013491,0.2980304016314775,0.3417391304347826,0.32600580671920365,0.33368711476242996,8128129,3026.5617458820343
rel-stack,GAT,Dir-GNN,43,0.8611991950164565,0.27780122653032024,0.3163664839467502,0.33513065118208213,0.32547834793948827,8128129,1884.8726880550385
rel-stack,GAT,Dir-GNN,44,0.8596666223150248,0.28043267501897506,0.3512014787430684,0.31522189962671093,0.3322404366599274,8128129,1470.9588034152985
rel-trial,SAGE,MPNN-D,42,0.6715139006160679,0.7359789468307979,0.608548931383577,0.964349376114082,0.7462068960773088,7286273,41.22258257865906
rel-trial,SAGE,MPNN-D,43,0.6701557816108901,0.7339803792020014,0.5948827292110874,0.9946524064171123,0.7444963304188845,7286273,44.71562957763672
rel-trial,SAGE,MPNN-D,44,0.6728541496343354,0.743102164086087,0.6110484780157835,0.966131907308378,0.7486187840557302,7286273,48.28634023666382
rel-trial,SAGE,MPNN-U,42,0.6851352981383941,0.7483587538047254,0.6398467432950191,0.893048128342246,0.7455357137993561,7286273,50.19606924057007
rel-trial,SAGE,MPNN-U,43,0.685054883197298,0.7598130364417275,0.6085011185682326,0.9696969696969697,0.7477663225502448,7286273,54.93542456626892
rel-trial,SAGE,MPNN-U,44,0.688628880579345,0.758490425771644,0.6304878048780488,0.9215686274509803,0.7487328018347481,7286273,54.81926369667053
rel-trial,SAGE,Dir-GNN,42,0.6866810520061295,0.7600966965459954,0.606942889137738,0.966131907308378,0.7455295731161649,8273153,45.84078550338745
rel-trial,SAGE,Dir-GNN,43,0.686381729725383,0.7542435869629204,0.6296296296296297,0.9090909090909091,0.7439824940460331,8273153,55.19546341896057
rel-trial,SAGE,Dir-GNN,44,0.6867838044308632,0.7563857995842649,0.6080627099664053,0.9679144385026738,0.7469050889345966,8273153,45.820066690444946
rel-trial,GAT,MPNN-D,42,0.6452896948252985,0.6990316259388996,0.6104190260475651,0.9607843137254902,0.7465373956467463,10266113,76.52333641052246
rel-trial,GAT,MPNN-D,43,0.6433195287684452,0.7025011461398987,0.6086956521739131,0.948306595365419,0.7414634141579343,10266113,85.33456134796143
rel-trial,GAT,MPNN-D,44,0.6515129177667878,0.7161390400553566,0.5888538380651945,0.9982174688057041,0.7407407402740064,10266113,93.91287755966187
rel-trial,GAT,MPNN-U,42,0.6632713691537221,0.7312693042918812,0.6004390779363337,0.9750445632798574,0.7432065212673981,10266113,51.12462902069092
rel-trial,GAT,MPNN-U,43,0.664902005459281,0.7365701448334888,0.5907172995780591,0.9982174688057041,0.7422133858814614,10266113,51.019808530807495
rel-trial,GAT,MPNN-U,44,0.6643793083421567,0.7316808193894122,0.6062639821029083,0.966131907308378,0.7450171816567741,10266113,73.73187518119812
rel-trial,GAT,Dir-GNN,42,0.665844647268796,0.7369337303187484,0.6232227488151659,0.9376114081996435,0.7487544479188623,14232833,85.72201037406921
rel-trial,GAT,Dir-GNN,43,0.6679041632602004,0.7322864830870023,0.6302211302211302,0.9144385026737968,0.7461818176987463,14232833,80.11506485939026
rel-trial,GAT,Dir-GNN,44,0.659313167053105,0.7250804320561792,0.6083995459704881,0.9554367201426025,0.7434119274025702,14232833,74.32275700569153
