dataset,backbone,mode,seed,AUROC,AUPRC,precision,recall,f1,params,train_s
rel-stack,SAGE,MPNN-D,42,0.8681570458976652,0.2876194417058767,0.3431372549019608,0.3193695562007466,0.3308270671698164,3033985,633.934387922287
rel-stack,SAGE,MPNN-U,42,0.8674715343719732,0.2694395680856857,0.3007124109486314,0.3326420572376607,0.3158723902062727,3033985,657.1489500999451
rel-stack,SAGE,Dir-GNN,42,0.8641665241930451,0.2674697578409973,0.2944325481798715,0.3421816673579427,0.3165164008072441,3757697,688.7934682369232
rel-trial,SAGE,MPNN-D,42,0.6790103601249112,0.7444838663071821,0.5978494623655914,0.9910873440285204,0.7458081819585253,7268481,36.79610967636109
rel-trial,SAGE,MPNN-U,42,0.687322137786534,0.7555599312985479,0.6327543424317618,0.9090909090909092,0.746159472815256,7268481,30.20401072502136
rel-trial,SAGE,Dir-GNN,42,0.6799976769017017,0.7501790162766344,0.6177156177156177,0.9447415329768272,0.7470049325733483,8255361,32.9603590965271
rel-stack,GAT,MPNN-D,42,0.8676992485581005,0.2949923738806909,0.3440951571792693,0.3359601824968892,0.3399790131412048,5219201,784.9734642505646
rel-stack,GAT,MPNN-U,42,0.8600638506540962,0.2609738088613919,0.2826223337515683,0.3737038573206138,0.321843185792894,5219201,908.523514032364
rel-stack,GAT,Dir-GNN,42,0.8638633460933917,0.262737481860622,0.2915432708127674,0.3674823724595603,0.325137614185538,8128129,943.243043422699
rel-trial,GAT,MPNN-D,42,0.6060338010802407,0.6854640298096706,0.5868200836820083,1.0,0.7396176659808341,10248321,30.921531677246094
rel-trial,GAT,MPNN-U,42,0.654314038214967,0.7268452254531959,0.5946524064171123,0.9910873440285204,0.7433155075526403,10248321,45.03434419631958
rel-trial,GAT,Dir-GNN,42,0.66863683272352,0.7368870163384014,0.6186540731995277,0.9340463458110516,0.7443181813388117,14215041,54.85976386070252
rel-trial,SAGE,MPNN-D,43,0.6754318952461367,0.7380729579598306,0.6226190476190476,0.9322638146167558,0.7466095641165457,7268481,44.17630362510681
rel-trial,SAGE,MPNN-D,44,0.670499778858912,0.7275914620454871,0.5993520518358532,0.9893048128342246,0.7464694010096145,7268481,21.52246332168579
rel-trial,SAGE,MPNN-U,43,0.6822046202851155,0.7504132338333551,0.6082004555808656,0.9518716577540108,0.7421820704068215,7268481,21.154614686965942
rel-trial,SAGE,MPNN-U,44,0.6865336246141199,0.7561116728703541,0.6245530393325387,0.9340463458110516,0.7485714280911437,7268481,29.26834797859192
rel-trial,SAGE,Dir-GNN,43,0.6854971653733264,0.7450453033722906,0.6536912751677852,0.8680926916221033,0.7457886671975203,8255361,23.189844131469727
rel-trial,SAGE,Dir-GNN,44,0.6841658513485138,0.7567677589173673,0.6220379146919431,0.9358288770053476,0.7473309603743782,8255361,33.94198250770569
rel-trial,GAT,MPNN-D,43,0.639758933876581,0.7029312833290218,0.5950323974082073,0.982174688057041,0.7410894413593117,10248321,34.3248085975647
rel-trial,GAT,MPNN-D,44,0.6444498054405174,0.7005918231277641,0.6035437430786268,0.9714795008912656,0.7445355186529691,10248321,34.3836350440979
rel-trial,GAT,MPNN-U,43,0.6610822957572183,0.7328722381150982,0.6239620403321471,0.9376114081996436,0.7492877488079206,10248321,42.12354874610901
rel-trial,GAT,MPNN-U,44,0.6687574551351642,0.7372474116837435,0.6,0.9786096256684492,0.7439024385531512,10248321,32.66635727882385
rel-trial,GAT,Dir-GNN,43,0.6615692529005223,0.725748366901992,0.6291309669522643,0.9162210338680928,0.7460087077901157,14215041,37.4405038356781
rel-trial,GAT,Dir-GNN,44,0.6600771089935177,0.7287394643988601,0.5980498374864572,0.983957219251337,0.7439353095027981,14215041,33.343260765075684
