dataset,model,setting,seed,AUROC,AUPRC,precision,recall,f1,params,train_s,threshold
rel-stack,SAGE,homo,42,0.8781801689575326,0.3125739253312024,0.3358462118356577,0.3695562007465782,0.3518957340982983,2376065,21116.73424577713,
rel-stack,SAGE,homo,43,0.8780466268150185,0.3059871046863067,0.3172365174480084,0.3732890916632103,0.3429878043813434,2376065,16988.664695739746,
rel-stack,SAGE,homo,44,0.8837900998116772,0.3224796905099952,0.3680767553423463,0.3500622148486105,0.3588435369152806,2376065,2182.9352927207947,
rel-stack,SAGE,hetero,42,0.877062717382891,0.305620253016962,0.3478084415584415,0.3554541683948569,0.3515897430898027,3757697,2031.3132874965668,
rel-stack,SAGE,hetero,43,0.8761147451599948,0.3008600005962007,0.3469217970049917,0.3459145582745748,0.3464174449828671,3757697,2786.294305562973,
rel-stack,SAGE,hetero,44,0.8707475650956048,0.2922111215404283,0.3502626970227671,0.3318125259228536,0.3407880719178313,3757697,1582.247731924057,
rel-stack,HGT,homo,42,0.8711072131117077,0.2926140581177984,0.3041150886584142,0.3770219825798424,0.3366666661723951,2458763,2493.9800584316254,
rel-stack,HGT,homo,43,0.8669073994840583,0.2911607026627346,0.315959741193386,0.3645790128577353,0.3385326395949841,2458763,925.3643054962158,
rel-stack,HGT,homo,44,0.8660390548895293,0.2874453429597164,0.3452754142409315,0.3197843218581501,0.3320413431699852,2458763,1422.3843276500702,
rel-stack,HGT,hetero,42,0.8797687740746303,0.3026459985562476,0.337200309358082,0.3616756532559104,0.3490094051439992,3595583,4829.175865650177,
rel-stack,HGT,hetero,43,0.8659690075339972,0.2875075398635496,0.3252446183953033,0.3446702613023641,0.3346757949092001,3595583,2874.635474443436,
rel-stack,HGT,hetero,44,0.8639329584339405,0.271386175878362,0.2970963172804532,0.3479883865615927,0.3205348610121855,3595583,1802.184555768967,
rel-trial,SAGE,homo,42,0.6683062379656808,0.7285748908938032,0.6006674082313682,0.962566844919786,0.739726026924058,6365185,82.38381600379944,
rel-trial,SAGE,homo,43,0.6678952282667454,0.7205389250021188,0.6210526315789474,0.946524064171123,0.7499999995215545,6365185,57.20111346244812,
rel-trial,SAGE,homo,44,0.6573117285191589,0.7094763410011421,0.5950854700854701,0.9928698752228164,0.7441549761512819,6365185,36.74777579307556,
rel-trial,SAGE,hetero,42,0.6826603049513266,0.7512270663873173,0.605060506050605,0.9803921568627452,0.7482993192559128,8273153,72.4697380065918,
rel-trial,SAGE,hetero,43,0.6873020340512601,0.7507626583722562,0.6089887640449438,0.966131907308378,0.747070985052928,8273153,62.19762587547302,
rel-trial,SAGE,hetero,44,0.6901701669503527,0.7550520205683136,0.6124293785310735,0.966131907308378,0.7496542180589895,8273153,67.45908761024475,
rel-trial,HGT,homo,42,0.6748913281421021,0.7317083962772941,0.6157407407407407,0.948306595365419,0.7466666661892727,6447883,63.530556440353394,
rel-trial,HGT,homo,43,0.6649824204003771,0.7255532608726112,0.5925925925925926,0.998217468805704,0.7436918986028925,6447883,63.478792905807495,
rel-trial,HGT,homo,44,0.674042503763866,0.7218753766352639,0.6367088607594936,0.8966131907308378,0.7446336042515974,6447883,81.68625497817993,
rel-trial,HGT,hetero,42,0.6704282989112711,0.7271882640288867,0.6227758007117438,0.9358288770053476,0.7478632473834192,8772623,127.13093280792236,
rel-trial,HGT,hetero,43,0.6792516049481995,0.7417934359944838,0.6207302709069493,0.9393939393939394,0.747517730017314,8772623,175.93121695518494,
rel-trial,HGT,hetero,44,0.6624314797689411,0.7234071402693261,0.6118047673098751,0.9607843137254902,0.7475728150586034,8772623,127.09781432151794,
rel-trial,SAGE,homo-wide,42,0.6768748966891381,0.7379398470874683,0.623642943305187,0.9215686274509803,0.7438848916049179,6720289,71.3902268409729,0.21490612626075745
rel-trial,SAGE,homo-wide,43,0.6606846885484656,0.7065785278437758,0.602436323366556,0.9696969696969697,0.7431693984343899,6720289,58.58886694908142,0.23812590539455414
rel-trial,SAGE,homo-wide,44,0.6677612033649185,0.7156639696117751,0.5993485342019544,0.983957219251337,0.7449392707845645,6720289,62.683228731155396,0.23248501121997833
