dataset,model,setting,seed,AUROC,AUPRC,precision,recall,f1,params,train_s
rel-stack,SAGE,homo,42,0.8738240681182354,0.2984966079131226,0.3371598639455782,0.3289091663210286,0.3329834133148994,2376065,658.7507863044739
rel-stack,SAGE,hetero,42,0.8598053200065424,0.2488973335714213,0.2796787709497206,0.3322272915802571,0.3036966819681423,3757697,570.2701246738434
rel-stack,HGT,hetero,42,0.8609686395610372,0.2492457174593941,0.2752025931928687,0.3521360431356283,0.3089519645730218,3595583,2191.9200212955475
rel-trial,SAGE,homo,42,0.6684313278740524,0.7325899438818884,0.6019736842105263,0.9786096256684492,0.7454175148033398,6347393,37.46975588798523
rel-trial,SAGE,hetero,42,0.6941775115149729,0.7614658821534634,0.6091825307950728,0.9696969696969696,0.7482806047530286,8255361,50.55661964416504
rel-trial,HGT,hetero,42,0.6647009681065409,0.7184900879484484,0.5934182590233545,0.9964349376114082,0.7438456415813641,8754831,85.56288933753967
rel-stack,HGT,homo,42,0.8652263250962823,0.276691477461817,0.3043633762517883,0.3529655744504355,0.3268676776283337,2458763,779.823742389679
rel-trial,HGT,homo,42,0.6719517152953685,0.7196369846040442,0.616800920598389,0.9554367201426024,0.7496503491735448,6430091,27.67815589904785
rel-trial,SAGE,homo,43,0.6717194054655355,0.7381680738996534,0.6174734356552538,0.9322638146167558,0.742897726793357,6347393,26.099385023117065
rel-trial,SAGE,homo,44,0.6663182019219172,0.7214743530962503,0.6180555555555556,0.9518716577540108,0.7494736837331323,6347393,18.999794244766235
rel-trial,SAGE,hetero,43,0.6877353812338333,0.7532488122381711,0.6002178649237473,0.982174688057041,0.7450980387448183,8255361,21.00170135498047
rel-trial,SAGE,hetero,44,0.6946465986713665,0.7627527174765895,0.6155632984901278,0.9447415329768272,0.7454289727993288,8255361,25.82730436325073
rel-trial,HGT,homo,43,0.6718802353477276,0.7284710596851958,0.6019736842105263,0.9786096256684492,0.7454175148033398,6430091,22.67308068275452
rel-trial,HGT,homo,44,0.662686127082412,0.7198838458446297,0.6079545454545454,0.9536541889483066,0.7425399023697494,6430091,33.57026267051697
rel-trial,HGT,hetero,43,0.6655185200076841,0.7254216995567098,0.6022099447513812,0.9714795008912656,0.7435197812464941,8754831,94.16818761825562
rel-trial,HGT,hetero,44,0.6694365146377531,0.7297543763199401,0.62,0.9393939393939394,0.7469879513282043,8754831,94.82861948013306
rel-trial,SAGE,homo-wide,42,0.6680203181751169,0.721430565707051,0.640926640926641,0.8877005347593583,0.7443946183471113,6702497,42.17947006225586
rel-trial,SAGE,homo-wide,43,0.6635528214475583,0.7173204866357827,0.5978378378378378,0.9857397504456328,0.7442799456942002,6702497,24.5483512878418
rel-trial,SAGE,homo-wide,44,0.6668677040194069,0.7266042588945232,0.5984930032292788,0.9910873440285204,0.7463087243627143,6702497,21.65001463890076
