epoch,train_loss,val_loss,val_AUROC,dataset,variant,seed
1,0.4927704855799675,0.5206386148929596,0.6644150483159771,rel-trial,rgcn-basis1,42
2,0.4752477879325549,0.4850131869316101,0.6646786306229031,rel-trial,rgcn-basis1,42
3,0.4659494025011857,0.476118803024292,0.6825441500364102,rel-trial,rgcn-basis1,42
4,0.4577135480940342,0.4751317948102951,0.6848985208118334,rel-trial,rgcn-basis1,42
5,0.45453689123193425,0.4739109128713608,0.686614039555216,rel-trial,rgcn-basis1,42
6,0.44961486632625264,0.47815506160259247,0.6831338596044478,rel-trial,rgcn-basis1,42
7,0.4448809338112672,0.4793071448802948,0.6781302632695821,rel-trial,rgcn-basis1,42
8,0.44020475074648857,0.48776470124721527,0.6773886588128075,rel-trial,rgcn-basis1,42
9,0.43356433634956676,0.4764883816242218,0.6863772622286555,rel-trial,rgcn-basis1,42
10,0.42407170062263805,0.49813514947891235,0.6733902492416425,rel-trial,rgcn-basis1,42
11,0.4179533012211323,0.512607604265213,0.6735287416401967,rel-trial,rgcn-basis1,42
1,0.49318962544202805,0.5031157433986664,0.6353495146064806,rel-trial,rgcn-basis1,43
2,0.47508372614781064,0.48280394077301025,0.6771831539633397,rel-trial,rgcn-basis1,43
3,0.4660477476815383,0.4834040254354477,0.6685608852791516,rel-trial,rgcn-basis1,43
4,0.4591109516719977,0.4806797355413437,0.6825128775593172,rel-trial,rgcn-basis1,43
5,0.45400820175806683,0.47920218110084534,0.6755033751937777,rel-trial,rgcn-basis1,43
6,0.4454427994787693,0.4900314211845398,0.6749091981290124,rel-trial,rgcn-basis1,43
7,0.44097459440430004,0.48026086390018463,0.6826513699578715,rel-trial,rgcn-basis1,43
8,0.4355870857834816,0.4813178479671478,0.6790505675954592,rel-trial,rgcn-basis1,43
9,0.43174277370174724,0.5175095200538635,0.680935851214489,rel-trial,rgcn-basis1,43
10,0.4294631704688072,0.5484083592891693,0.6667068741372146,rel-trial,rgcn-basis1,43
11,0.42318931221961975,0.49357770383358,0.6661573720397249,rel-trial,rgcn-basis1,43
12,0.41624972224235535,0.4883425235748291,0.6729569020590692,rel-trial,rgcn-basis1,43
