epoch,train_loss,val_loss,val_AUROC,dataset,variant,seed
1,1.0713730021715164,0.9006418411930402,0.827580555987629,rel-stack,sage-basis1,42
2,1.0212574733495712,0.7725251022548902,0.8404872094234765,rel-stack,sage-basis1,42
3,1.0168945407867431,0.7242134122976235,0.8422603106095476,rel-stack,sage-basis1,42
4,0.9973832868337632,0.7635525669015589,0.8486714943187765,rel-stack,sage-basis1,42
5,0.9928663070201874,0.7871313838376885,0.8582748328912313,rel-stack,sage-basis1,42
6,0.985520829319954,0.7505697668308303,0.8487798279644505,rel-stack,sage-basis1,42
7,0.9836381540298462,0.747480820864439,0.8527640233083116,rel-stack,sage-basis1,42
8,0.9645753387212752,0.78965642214531,0.8564551304143351,rel-stack,sage-basis1,42
9,0.9746067301034927,0.7482226262135165,0.8619645752931068,rel-stack,sage-basis1,42
10,0.957509801030159,0.7563415703674158,0.8654637935612383,rel-stack,sage-basis1,42
11,0.966010983467102,0.7360218403240045,0.8625143049705701,rel-stack,sage-basis1,42
12,0.9570806549787522,0.7360828486936433,0.8683022737855343,rel-stack,sage-basis1,42
13,0.9573610035181046,0.7200959456108865,0.8661238703822991,rel-stack,sage-basis1,42
14,0.9550993934869766,0.7334382615628696,0.8686839932189964,rel-stack,sage-basis1,42
15,0.9497227861881256,0.7558521108613128,0.8654301731175187,rel-stack,sage-basis1,42
16,0.947592189192772,0.716888869092578,0.8641404034076401,rel-stack,sage-basis1,42
17,0.9429942458868028,0.7247474924439475,0.8681093309684825,rel-stack,sage-basis1,42
18,0.9360606070756912,0.747870247811079,0.8729053363596257,rel-stack,sage-basis1,42
19,0.9313478112220764,0.7762091945679415,0.8703112450672222,rel-stack,sage-basis1,42
20,0.9294314122200013,0.7531591426758539,0.8717061591414964,rel-stack,sage-basis1,42
21,0.9362425383329392,0.7152347791762579,0.8648352068533782,rel-stack,sage-basis1,42
22,0.9194011524915696,0.7326684634955156,0.8690007611867322,rel-stack,sage-basis1,42
23,0.913474355340004,0.7386471308058217,0.8698435418150346,rel-stack,sage-basis1,42
24,0.9190407357215882,0.7221410696705183,0.8759376120303407,rel-stack,sage-basis1,42
25,0.9225385224819184,0.7369404245345366,0.8692975035504308,rel-stack,sage-basis1,42
26,0.918187620639801,0.7542167561394828,0.8708914034213268,rel-stack,sage-basis1,42
27,0.9229299671649932,0.7149769678002312,0.8660734111300209,rel-stack,sage-basis1,42
28,0.9100413597822188,0.760116308927536,0.873871007477848,rel-stack,sage-basis1,42
29,0.919726394057274,0.7230331578424999,0.871418010188071,rel-stack,sage-basis1,42
30,0.8963028495311737,0.7146104109429178,0.8759568123488095,rel-stack,sage-basis1,42
1,1.0892961031198505,0.9296492331084752,0.8301092359413238,rel-stack,sage-basis1,43
2,1.0221094926595689,0.7585420975727695,0.8354431112585821,rel-stack,sage-basis1,43
3,1.0017554939985276,0.7920548279015791,0.8482981097723968,rel-stack,sage-basis1,43
4,0.9926664136648178,0.7604760685492129,0.8563017988187748,rel-stack,sage-basis1,43
5,0.9829052053689956,0.7538921368264017,0.8552916418254467,rel-stack,sage-basis1,43
6,0.979869812488556,0.7817108299405802,0.8609453774455231,rel-stack,sage-basis1,43
7,0.9732652825117112,0.7423081685389791,0.8638925293842802,rel-stack,sage-basis1,43
8,0.9695139319896698,0.7649945497867607,0.8648311152267341,rel-stack,sage-basis1,43
9,0.9594909336566924,0.7861233688890934,0.8649440227442339,rel-stack,sage-basis1,43
10,0.951230480313301,0.741885477056106,0.8653717667629431,rel-stack,sage-basis1,43
11,0.953663964509964,0.7694049369366396,0.8720086710467753,rel-stack,sage-basis1,43
12,0.951031415462494,0.7423328294285706,0.8684254899152414,rel-stack,sage-basis1,43
13,0.9537588987350464,0.78806248378186,0.8669709862456365,rel-stack,sage-basis1,43
14,0.9468651305437088,0.7227213666552589,0.8693904326940916,rel-stack,sage-basis1,43
15,0.9417689133882524,0.7546802219890413,0.8677185955387637,rel-stack,sage-basis1,43
16,0.94023954975605,0.7072061447515374,0.8729106907726217,rel-stack,sage-basis1,43
17,0.939594742655754,0.8247442841529846,0.8716136575554195,rel-stack,sage-basis1,43
18,0.9271796753406524,0.7539964561306295,0.8731376418181782,rel-stack,sage-basis1,43
