epoch,train_loss,val_loss,val_AUROC,dataset,variant,seed
1,1.2524971124973705,1.1655362943808238,0.7382684210526316,rel-stack,llm-frozen-large,42
2,1.091621661439855,1.1221283028523128,0.7800853801169589,rel-stack,llm-frozen-large,42
3,1.0515621405966735,1.1035084575414658,0.7856941520467836,rel-stack,llm-frozen-large,42
4,1.0229475219198998,1.0679474423329036,0.7920827485380115,rel-stack,llm-frozen-large,42
5,0.9765502417341192,1.0668864250183103,0.7903578947368421,rel-stack,llm-frozen-large,42
6,0.9496808305699774,1.0813129842281342,0.7878499999999999,rel-stack,llm-frozen-large,42
7,0.920227162381436,1.1177672694126766,0.7782605263157896,rel-stack,llm-frozen-large,42
8,0.9156727803514358,1.1906716972589493,0.7825824561403508,rel-stack,llm-frozen-large,42
9,0.8703406224859521,1.1459554135799408,0.7782184210526315,rel-stack,llm-frozen-large,42
10,0.8723415034882566,1.1822316596905391,0.7748681286549708,rel-stack,llm-frozen-large,42
1,1.2443542556559786,1.162453422943751,0.7341950292397661,rel-stack,llm-frozen-large,43
2,1.0898406353402643,1.0692262748877208,0.7859529239766082,rel-stack,llm-frozen-large,43
3,1.0347697937742193,1.0470415701468785,0.7909719298245612,rel-stack,llm-frozen-large,43
4,0.9976896377319984,1.055256759126981,0.794577485380117,rel-stack,llm-frozen-large,43
5,0.9633194474463768,1.0920438716808956,0.7909289473684211,rel-stack,llm-frozen-large,43
6,0.955414854465647,1.0857656300067902,0.7874394736842105,rel-stack,llm-frozen-large,43
7,0.9026564346983078,1.101152514417966,0.7854005847953216,rel-stack,llm-frozen-large,43
8,0.8911979921320652,1.1554937263329823,0.7815985380116959,rel-stack,llm-frozen-large,43
9,0.8758869158460739,1.1784559885660808,0.769883918128655,rel-stack,llm-frozen-large,43
10,0.859831931743216,1.486326590180397,0.7668625730994152,rel-stack,llm-frozen-large,43
1,1.254913664878683,1.1591060161590576,0.7315681286549708,rel-stack,llm-frozen-large,44
2,1.1043562483280265,1.0680197129646938,0.7811052631578946,rel-stack,llm-frozen-large,44
3,1.041496241346319,1.0481870025396347,0.7884535087719298,rel-stack,llm-frozen-large,44
4,0.9984548928889824,1.0581246713797252,0.7896383040935673,rel-stack,llm-frozen-large,44
5,0.9687863626378648,1.1189024647076924,0.7867599415204679,rel-stack,llm-frozen-large,44
6,0.9496502216826094,1.0997176965077715,0.7808137426900585,rel-stack,llm-frozen-large,44
7,0.9342731516411964,1.081569716334343,0.7859698830409356,rel-stack,llm-frozen-large,44
8,0.9012390425864686,1.1016786098480225,0.7844450292397661,rel-stack,llm-frozen-large,44
9,0.8835626206499465,1.1732419282197952,0.7783225146198831,rel-stack,llm-frozen-large,44
10,0.8371000467462743,1.263636350631714,0.7603201754385965,rel-stack,llm-frozen-large,44
1,0.5023985003170214,0.5018615126609802,0.5213836672057897,rel-trial,llm-frozen-large,42
2,0.5016784228776631,0.4999882638454437,0.5694475280744126,rel-trial,llm-frozen-large,42
3,0.4906026689629805,0.4863478541374206,0.6163726827931941,rel-trial,llm-frozen-large,42
4,0.480557033890172,0.4831155121326446,0.6291057958110966,rel-trial,llm-frozen-large,42
5,0.4742920273228695,0.482927918434143,0.6360949528900783,rel-trial,llm-frozen-large,42
6,0.466084969671149,0.4814238131046295,0.6453634038056718,rel-trial,llm-frozen-large,42
