dataset,skip,depth,seed,AUROC,AUPRC,precision,recall,cos_sim,dir_energy,params,train_s
rel-stack,False,1,42,0.8806121587523098,0.323851006362912,0.3959835221421215,0.318954790543343,0.4500819444656372,0.7191250920295715,2326785,9721.017726659777
rel-stack,False,1,43,0.8829649783059023,0.3259854219085755,0.3577336641852771,0.3587722936540854,0.4373144209384918,0.7450524568557739,2326785,13782.611073970796
rel-stack,False,1,44,0.8789276639038641,0.31151632426528536,0.31505449591280654,0.38365823309829944,0.4719218313694,0.6968329548835754,2326785,1352.066484451294
rel-stack,False,2,42,0.8846566968888728,0.3308889490686235,0.34153952843273233,0.40854417254251346,0.6425833106040955,0.3307447135448456,2343297,2916.1192643642426
rel-stack,False,2,43,0.884601340610781,0.341607084448926,0.3915958873491283,0.3633347158855247,0.6312030553817749,0.32622310519218445,2343297,2438.9911110401154
rel-stack,False,2,44,0.881437692900869,0.322298890906688,0.3758650519031142,0.3604313562836997,0.7552105188369751,0.21167351305484772,2343297,1483.4660458564758
rel-stack,False,3,42,0.8849879322120575,0.31350291272847897,0.3506300963676798,0.39236831190377436,0.5981817245483398,0.34130769968032837,2359809,2363.642722606659
rel-stack,False,3,43,0.8828319532097684,0.3237258264492692,0.32499197946743663,0.42015761094981335,0.5385481119155884,0.41296806931495667,2359809,2702.740879535675
rel-stack,False,3,44,0.8806291641094621,0.31536481829909957,0.3494582043343653,0.37453338863542096,0.5909044742584229,0.37109217047691345,2359809,1734.1340868473053
rel-stack,False,4,42,0.8820011342506103,0.30301025847754326,0.3723887375113533,0.3401078390709249,0.7375275492668152,0.20551685988903046,2376321,1631.9538896083832
rel-stack,False,4,43,0.8770425426308593,0.28450898003149816,0.33840608730476573,0.3504769805060141,0.7321099638938904,0.2642665207386017,2376321,1407.075314283371
rel-stack,False,4,44,0.8831082523550456,0.3325438258975537,0.3761348897535668,0.36084612194110327,0.6895923614501953,0.27055037021636963,2376321,2704.126735687256
rel-stack,False,6,42,0.8827930380122505,0.30775790093886146,0.371317157712305,0.3554541683948569,0.6511333584785461,0.3308374583721161,2409345,3327.3495633602142
rel-stack,False,6,43,0.8735123015799091,0.27718838620847147,0.3284848484848485,0.3372044794691,0.748823881149292,0.1903780847787857,2409345,1232.6066300868988
rel-stack,False,6,44,0.8799007377342045,0.2910240555447389,0.357956943858168,0.3517212774782248,0.7254979610443115,0.26553645730018616,2409345,2192.6698772907257
rel-stack,False,8,42,0.8752014026155795,0.2891213913634112,0.3492326835338034,0.3492326835338034,0.7933071851730347,0.3289851248264313,2442369,1517.6223185062408
rel-stack,False,8,43,0.8827418379916007,0.31550505531399275,0.35873530603972437,0.3670676068021568,0.7056769728660583,0.3410809338092804,2442369,3234.5579221248627
rel-stack,False,8,44,0.8783949868137514,0.30124125838501364,0.37402118839244586,0.33678971381169637,0.6375181078910828,0.49964019656181335,2442369,2054.7369945049286
rel-stack,True,1,42,0.8839103205524989,0.31884410225293425,0.3832800365463682,0.3479883865615927,0.4729140102863312,0.726974368095398,2326785,2907.6943230628967
rel-stack,True,1,43,0.8830727551323976,0.32950898387881283,0.3725231175693527,0.3508917461634177,0.48288869857788086,0.71270352602005,2326785,1659.130065202713
rel-stack,True,1,44,0.879395382070851,0.3213783300019293,0.3825187969924812,0.33761924512650354,0.533854067325592,0.6366356015205383,2326785,1465.7626366615295
rel-stack,True,2,42,0.882123085108166,0.3233119285152462,0.3354123354123354,0.40149315636665284,0.5510401129722595,0.5482618808746338,2343297,1693.6592173576355
rel-stack,True,2,43,0.8844327486896019,0.32476579777603176,0.33428673578834467,0.38780588967233515,0.5839397311210632,0.5095354318618774,2343297,2185.623639822006
rel-stack,True,2,44,0.8844055689534369,0.32480685061761416,0.34950720242608035,0.38241393612608876,0.5373566746711731,0.5856532454490662,2343297,1926.113230228424
rel-stack,True,3,42,0.8846606940551206,0.3360786599034834,0.36141304347826086,0.38614682704272085,0.555755615234375,0.61508709192276,2359809,2426.636993408203
rel-stack,True,3,43,0.8844374667378222,0.3308852023903801,0.3782608695652174,0.36084612194110327,0.5983121395111084,0.4681101143360138,2359809,1523.8817336559296
rel-stack,True,3,44,0.8824654841587254,0.33060271015986886,0.35087055261165784,0.3844877644131066,0.5761151313781738,0.570910632610321,2359809,1439.9179601669312
