dataset,skip,depth,seed,AUROC,AUPRC,precision,recall,cos_sim,dir_energy,params,train_s
rel-stack,False,1,42,0.8638967676731187,0.2624311549075103,0.3248381877022653,0.3330568228950643,0.4981684684753418,0.67768394947052,2326785,263.07664227485657
rel-stack,False,2,42,0.8578691056022836,0.2676300194080603,0.3250869733281794,0.3488179178763998,0.7804800271987915,0.2122869789600372,2343297,148.65451765060425
rel-stack,False,3,42,0.8626466365285304,0.2578648584185703,0.3264395782643958,0.3338863542098714,0.7564181089401245,0.1801355183124542,2359809,189.59281826019287
rel-stack,False,4,42,0.8622198072841861,0.2536370541784304,0.3104624715693707,0.3396930734135213,0.7950971722602844,0.1495653241872787,2376321,242.4928102493286
rel-stack,False,6,42,0.8628881792195311,0.2569964640670457,0.3017113095238095,0.3363749481542928,0.8062124252319336,0.187482014298439,2409345,263.3898112773895
rel-stack,False,8,42,0.8567555467902936,0.2347398981031851,0.3076323987538941,0.3276648693488179,0.7920090556144714,0.267274796962738,2442369,237.05133509635925
rel-stack,True,1,42,0.8580626474971125,0.2374732920811095,0.3075126508369015,0.3276648693488179,0.5888242125511169,0.668339729309082,2326785,124.91597437858582
rel-stack,True,2,42,0.864227811589711,0.2650207256557382,0.280325890162945,0.3853172957279137,0.6104762554168701,0.4793213009834289,2343297,199.8411600589752
rel-stack,True,3,42,0.8638722253706536,0.2681532258859905,0.2888961677038978,0.3658233098299461,0.5594583749771118,0.55461186170578,2359809,220.95530915260315
rel-stack,True,4,42,0.8616029137790807,0.2679199179597878,0.333201581027668,0.349647449191207,0.7031941413879395,0.3606615960597992,2376321,130.84876441955566
rel-stack,True,6,42,0.8641644609791237,0.268682771643231,0.3323590814196242,0.3301534632932393,0.7257013320922852,0.33912193775177,2409345,241.8523209095001
rel-stack,True,8,42,0.8708139956122749,0.2697303875446626,0.3181312569521691,0.3558689340522605,0.6963607668876648,0.3629780411720276,2442369,231.2023842334748
rel-trial,False,1,42,0.666845366535769,0.7306245372526748,0.6069042316258352,0.9714795008912656,0.3854238986968994,0.7669907212257385,6298113,34.130799531936646
rel-trial,False,2,42,0.6800870268362529,0.7446965009728934,0.6179906542056075,0.9429590017825312,0.5071039199829102,0.4031301140785217,6314625,30.439894914627075
rel-trial,False,3,42,0.6788718677263569,0.7453945643467348,0.6260657734470159,0.9162210338680928,0.6538890600204468,0.1952824741601944,6331137,29.44686722755432
rel-trial,False,4,42,0.6760484097945398,0.7294002087425466,0.6464516129032258,0.893048128342246,0.6742981672286987,0.1847906410694122,6347649,24.88526487350464
rel-trial,False,6,42,0.664477593270163,0.716643519236728,0.5978260869565217,0.9803921568627452,0.6771457195281982,0.1947106719017028,6380673,35.57808566093445
rel-trial,False,8,42,0.6767810792578595,0.731857250671602,0.6251526251526252,0.9126559714795008,0.5394089818000793,0.2622104585170746,6413697,34.35855007171631
rel-trial,True,1,42,0.6707186861985623,0.7330156463299895,0.6089887640449438,0.966131907308378,0.3770882189273834,1.2795480489730835,6298113,30.971662998199463
rel-trial,True,2,42,0.6723359200139385,0.7377668173414086,0.6217183770883055,0.928698752228164,0.4733101725578308,0.7417060732841492,6314625,30.370343685150143
rel-trial,True,3,42,0.6773037763749838,0.7419312596655179,0.6211401425178147,0.9322638146167558,0.5119373798370361,0.6411004662513733,6331137,30.23546051979065
rel-trial,True,4,42,0.6773082438717114,0.7423137313438268,0.6053511705685619,0.9679144385026738,0.542142391204834,0.602350115776062,6347649,30.52483558654785
rel-trial,True,6,42,0.6755123101872327,0.7474899815052826,0.6156542056074766,0.9393939393939394,0.6902763247489929,0.336599051952362,6380673,31.13845992088318
rel-trial,True,8,42,0.6747662382337305,0.7431876666262325,0.6206088992974239,0.9447415329768272,0.7231884002685547,0.2979069054126739,6413697,29.610297918319706
rel-trial,False,1,43,0.6722018951121118,0.7395718593193386,0.6199524940617577,0.93048128342246,0.3710952401161194,0.8562220931053162,6298113,29.90400671958924
rel-trial,False,1,44,0.6679265007438382,0.7373392273824411,0.6137142857142858,0.9572192513368984,0.4259073734283447,0.7518572807312012,6298113,23.007129669189453
rel-trial,False,2,43,0.6836878291986651,0.7398052524561183,0.6179245283018868,0.9340463458110516,0.532954752445221,0.371467113494873,6314625,22.23103189468384
rel-trial,False,2,44,0.6802567917119,0.743376394810592,0.6057585825027686,0.9750445632798574,0.5452587604522705,0.3456811010837555,6314625,22.143717050552368
rel-trial,False,3,43,0.6853497379813169,0.7513507324139612,0.639135959339263,0.8966131907308378,0.61813884973526,0.2404853850603103,6331137,23.077804803848267
rel-trial,False,3,44,0.6865470271043027,0.7471272930501807,0.596340150699677,0.9875222816399288,0.5115638971328735,0.3073323369026184,6331137,22.559035539627075
rel-trial,False,4,43,0.6886869580368034,0.7450204929150277,0.6336633663366337,0.9126559714795008,0.6216883063316345,0.2222664505243301,6347649,23.29674196243286
rel-trial,False,4,44,0.6812307059985079,0.7452498306820683,0.6224852071005917,0.9376114081996436,0.629308819770813,0.2055159658193588,6347649,22.246514797210693
rel-trial,False,6,43,0.6685117428151484,0.7289811817511926,0.5975877192982456,0.9714795008912656,0.640875518321991,0.2223030179738998,6380673,23.15371561050415
rel-trial,False,6,44,0.6736002215878376,0.7331481004670857,0.6042363433667781,0.966131907308378,0.6018511056900024,0.2149485498666763,6380673,23.736993074417114
rel-trial,False,8,43,0.6780319783415758,0.7284579339235078,0.6285018270401949,0.9197860962566844,0.6341977119445801,0.2025189846754074,6413697,22.889020681381226
rel-trial,False,8,44,0.6773752563226249,0.7375835326984777,0.6226190476190476,0.9322638146167558,0.6378743648529053,0.1688697189092636,6413697,23.2092022895813
rel-trial,True,1,43,0.6687753251220743,0.7281998860755413,0.6052921719955898,0.9786096256684492,0.4198510348796844,1.1240206956863403,6298113,22.339905500411987
rel-trial,True,1,44,0.6684000553969593,0.7241908134403172,0.6039823008849557,0.9732620320855616,0.4208692610263824,1.146303415298462,6298113,21.81596565246582
rel-trial,True,2,43,0.6813691983970622,0.7471858019845194,0.6240963855421687,0.9233511586452764,0.4760071337223053,0.7217919230461121,6314625,21.765772342681885
rel-trial,True,2,44,0.6805181402704623,0.7494943779044032,0.6030871003307607,0.9750445632798574,0.4718828201293945,0.7421880960464478,6314625,22.03079962730408
rel-trial,True,3,43,0.6808018263126623,0.7506826526823257,0.6176129779837776,0.9500891265597148,0.4894943237304687,0.7031839489936829,6331137,22.258355140686035
rel-trial,True,3,44,0.6785837141874294,0.7482389189719318,0.6072234762979684,0.9590017825311944,0.4982751309871673,0.6719386577606201,6331137,22.188339471817017
rel-trial,True,4,43,0.6916310383802645,0.7511500057899572,0.6033333333333334,0.9679144385026738,0.5077430009841919,0.5936394333839417,6347649,22.377280235290527
rel-trial,True,4,44,0.680703541384656,0.7500036955485231,0.6028761061946902,0.9714795008912656,0.5986434817314148,0.4951705932617187,6347649,22.47753143310547
rel-trial,True,6,43,0.6723671924910315,0.7434022573978292,0.6118047673098751,0.9607843137254902,0.7103708982467651,0.2811813652515411,6380673,22.87342929840088
rel-trial,True,6,44,0.6850325457136603,0.7481227252160582,0.6343283582089553,0.9090909090909092,0.67600017786026,0.4685900509357452,6380673,22.659648895263672
rel-trial,True,8,43,0.6812083685148701,0.748084005397363,0.6252983293556086,0.9340463458110516,0.6823678612709045,0.315782755613327,6413697,23.726825714111328
rel-trial,True,8,44,0.6756105951152391,0.7433827278391655,0.6004415011037527,0.9696969696969696,0.8004514575004578,0.1614698767662048,6413697,23.38293957710266
