epoch,train_loss,val_loss,val_AUROC,check,dataset,variant,seed,done
1,0.49814068401853245,0.5026116669178009,0.6047516295194315,A1_GAT_MPNN_D,rel-trial,longer,42,False
2,0.494838859885931,0.5119742155075073,0.5963616706650763,A1_GAT_MPNN_D,rel-trial,longer,42,False
3,0.4930841500560443,0.5041292309761047,0.6026139323352946,A1_GAT_MPNN_D,rel-trial,longer,42,False
4,0.49050189554691315,0.5015253722667694,0.6042780748663102,A1_GAT_MPNN_D,rel-trial,longer,42,False
5,0.4888024280468623,0.5017512142658234,0.6162241611158021,A1_GAT_MPNN_D,rel-trial,longer,42,False
6,0.4841155782341957,0.5088092088699341,0.6240869553563053,A1_GAT_MPNN_D,rel-trial,longer,42,False
7,0.48250147451957065,0.49544520676136017,0.6312036776433061,A1_GAT_MPNN_D,rel-trial,longer,42,False
8,0.47933704033493996,0.4939674139022827,0.6375475229964395,A1_GAT_MPNN_D,rel-trial,longer,42,False
9,0.4772627428174019,0.4922099709510803,0.6456738995438686,A1_GAT_MPNN_D,rel-trial,longer,42,False
10,0.4754113008578618,0.4899582415819168,0.6525449095108538,A1_GAT_MPNN_D,rel-trial,longer,42,False
11,0.4719305895268917,0.4928627163171768,0.648667122351333,A1_GAT_MPNN_D,rel-trial,longer,42,False
12,0.4713980418940385,0.4940008223056793,0.6426851442331318,A1_GAT_MPNN_D,rel-trial,longer,42,False
13,0.4693686291575432,0.4973911643028259,0.636752308578934,A1_GAT_MPNN_D,rel-trial,longer,42,False
14,0.46752814824382466,0.500300258398056,0.6458838718900639,A1_GAT_MPNN_D,rel-trial,longer,42,False
15,0.46901064614454907,0.4911591112613678,0.644798270185267,A1_GAT_MPNN_D,rel-trial,longer,42,False
16,0.4628140429655711,0.5021570920944214,0.6415414650708768,A1_GAT_MPNN_D,rel-trial,longer,42,False
17,0.46079689636826515,0.49539507925510406,0.6386822671652392,A1_GAT_MPNN_D,rel-trial,longer,42,False
18,0.45939943070213,0.5062602162361145,0.6323116168317409,A1_GAT_MPNN_D,rel-trial,longer,42,True
1,0.4999450383086999,0.5034373551607132,0.60017021162532,A1_GAT_MPNN_D,rel-trial,longer,43,False
2,0.49482568353414536,0.5037320256233215,0.597590232265155,A1_GAT_MPNN_D,rel-trial,longer,43,False
3,0.49214474732677144,0.5077739655971527,0.5953743538882859,A1_GAT_MPNN_D,rel-trial,longer,43,False
4,0.4898847738901774,0.5036999583244324,0.6077850597974438,A1_GAT_MPNN_D,rel-trial,longer,43,False
5,0.48633971561988193,0.5183970332145691,0.6195435111843781,A1_GAT_MPNN_D,rel-trial,longer,43,False
6,0.48517665018637973,0.511762946844101,0.6219827643976251,A1_GAT_MPNN_D,rel-trial,longer,43,False
7,0.4824325144290924,0.4946708232164383,0.6366272186705624,A1_GAT_MPNN_D,rel-trial,longer,43,False
8,0.4787140575548013,0.501848578453064,0.6291977716126324,A1_GAT_MPNN_D,rel-trial,longer,43,False
9,0.4766007252037525,0.49339672923088074,0.6364351163112774,A1_GAT_MPNN_D,rel-trial,longer,43,False
10,0.47495923191308975,0.496044859290123,0.6385259047797749,A1_GAT_MPNN_D,rel-trial,longer,43,False
11,0.47209517906109494,0.5041185617446899,0.6102243130106908,A1_GAT_MPNN_D,rel-trial,longer,43,False
12,0.47058582430084545,0.49429817497730255,0.6292156415995425,A1_GAT_MPNN_D,rel-trial,longer,43,False
13,0.4697071239352226,0.49314823746681213,0.6414521151363257,A1_GAT_MPNN_D,rel-trial,longer,43,False
14,0.4676833612223466,0.5008751749992371,0.6182613396235688,A1_GAT_MPNN_D,rel-trial,longer,43,False
15,0.4641440436244011,0.505134105682373,0.6198741059422174,A1_GAT_MPNN_D,rel-trial,longer,43,False
16,0.4628588780760765,0.5013463199138641,0.6150402744829989,A1_GAT_MPNN_D,rel-trial,longer,43,False
17,0.4587587006390095,0.5058169215917587,0.627084645660497,A1_GAT_MPNN_D,rel-trial,longer,43,False
18,0.45843204235037166,0.5082263648509979,0.5986624314797688,A1_GAT_MPNN_D,rel-trial,longer,43,False
19,0.4550191971162955,0.503062829375267,0.6204682830069828,A1_GAT_MPNN_D,rel-trial,longer,43,False
20,0.4543173449734847,0.5016434043645859,0.617287425336961,A1_GAT_MPNN_D,rel-trial,longer,43,False
21,0.4516584600011508,0.5087345540523529,0.6149330545615375,A1_GAT_MPNN_D,rel-trial,longer,43,True
1,0.49735401198267937,0.5021456778049469,0.5977644646375297,A1_GAT_MPNN_D,rel-trial,longer,44,False
2,0.49430058896541595,0.5023339092731476,0.605676401342036,A1_GAT_MPNN_D,rel-trial,longer,44,False
3,0.49060986439387005,0.5074442327022552,0.6127261111781236,A1_GAT_MPNN_D,rel-trial,longer,44,False
4,0.48903917769591015,0.5052743256092072,0.6182658071202962,A1_GAT_MPNN_D,rel-trial,longer,44,False
5,0.4864955209195614,0.500601053237915,0.6128154611126747,A1_GAT_MPNN_D,rel-trial,longer,44,False
6,0.48223290716608364,0.5144503116607666,0.6361179240436207,A1_GAT_MPNN_D,rel-trial,longer,44,False
7,0.48191623389720917,0.4945153445005417,0.6338618381962036,A1_GAT_MPNN_D,rel-trial,longer,44,False
8,0.4811501329143842,0.491737499833107,0.6456470945635033,A1_GAT_MPNN_D,rel-trial,longer,44,False
9,0.47619543597102165,0.5030062198638916,0.6355594869526757,A1_GAT_MPNN_D,rel-trial,longer,44,False
10,0.47686809053023654,0.4968181848526001,0.6465852688762905,A1_GAT_MPNN_D,rel-trial,longer,44,False
11,0.4718913746376832,0.4913070350885391,0.6491585469913643,A1_GAT_MPNN_D,rel-trial,longer,44,False
12,0.4712401864429315,0.49103203415870667,0.6503737061012602,A1_GAT_MPNN_D,rel-trial,longer,44,False
13,0.46794726451237995,0.4896383285522461,0.6511510505318556,A1_GAT_MPNN_D,rel-trial,longer,44,False
14,0.46889862169822055,0.5013945698738098,0.6368416585134853,A1_GAT_MPNN_D,rel-trial,longer,44,False
15,0.4668331953386466,0.49627135694026947,0.6356175644101341,A1_GAT_MPNN_D,rel-trial,longer,44,False
16,0.4639340825378895,0.4950500428676605,0.638999459432896,A1_GAT_MPNN_D,rel-trial,longer,44,False
17,0.4604789304236571,0.49903421103954315,0.6399644387260486,A1_GAT_MPNN_D,rel-trial,longer,44,False
18,0.45946494738260907,0.4914134293794632,0.6415906075348801,A1_GAT_MPNN_D,rel-trial,longer,44,False
19,0.4551780770222346,0.4941065311431885,0.6454013822434874,A1_GAT_MPNN_D,rel-trial,longer,44,False
20,0.4535575012365977,0.4938885569572449,0.6462189341446307,A1_GAT_MPNN_D,rel-trial,longer,44,False
21,0.4492134402195613,0.4947018474340439,0.6453299022958465,A1_GAT_MPNN_D,rel-trial,longer,44,True
1,0.5030618235468864,0.5081216990947723,0.587194367380126,A1_GAT_MPNN_D,rel-trial,higher_lr,42,False
2,0.49592354024449986,0.5105160176753998,0.5923587935971837,A1_GAT_MPNN_D,rel-trial,higher_lr,42,False
3,0.49516905720035237,0.5065577924251556,0.596120425841788,A1_GAT_MPNN_D,rel-trial,higher_lr,42,False
4,0.49162733058134717,0.5032399892807007,0.5984301216499359,A1_GAT_MPNN_D,rel-trial,higher_lr,42,False
5,0.4915147200226784,0.502367377281189,0.6075348799807003,A1_GAT_MPNN_D,rel-trial,higher_lr,42,False
6,0.48904556160171825,0.516586184501648,0.6240914228530328,A1_GAT_MPNN_D,rel-trial,higher_lr,42,False
7,0.4862133686741193,0.4947158694267273,0.6294970938933787,A1_GAT_MPNN_D,rel-trial,higher_lr,42,False
8,0.4825226863225301,0.4941350221633911,0.6380791551070188,A1_GAT_MPNN_D,rel-trial,higher_lr,42,False
9,0.483772882570823,0.502973347902298,0.6374336018298867,A1_GAT_MPNN_D,rel-trial,higher_lr,42,False
10,0.4796888045966625,0.496719092130661,0.6401252686082407,A1_GAT_MPNN_D,rel-trial,higher_lr,42,False
11,0.4756997513274352,0.49483589828014374,0.6417380349268894,A1_GAT_MPNN_D,rel-trial,higher_lr,42,False
12,0.475896409402291,0.4987848699092865,0.6388386295507038,A1_GAT_MPNN_D,rel-trial,higher_lr,42,False
13,0.47474566598733264,0.49611201882362366,0.6329013263997785,A1_GAT_MPNN_D,rel-trial,higher_lr,42,False
14,0.4735063202679157,0.5037050545215607,0.6519239274657233,A1_GAT_MPNN_D,rel-trial,higher_lr,42,False
15,0.47272119174400967,0.49446235597133636,0.6530408016476129,A1_GAT_MPNN_D,rel-trial,higher_lr,42,False
16,0.4686390310525894,0.49915462732315063,0.6442353655975948,A1_GAT_MPNN_D,rel-trial,higher_lr,42,False
17,0.46667804817358655,0.5021573305130005,0.6296355862919331,A1_GAT_MPNN_D,rel-trial,higher_lr,42,False
18,0.464420422911644,0.4998161047697067,0.6290369417304402,A1_GAT_MPNN_D,rel-trial,higher_lr,42,False
19,0.4648323431611061,0.5061118006706238,0.632137384459366,A1_GAT_MPNN_D,rel-trial,higher_lr,42,False
20,0.4599522314965725,0.5258931517601013,0.6244264851075997,A1_GAT_MPNN_D,rel-trial,higher_lr,42,False
21,0.4603794539968173,0.515321284532547,0.6323964992695643,A1_GAT_MPNN_D,rel-trial,higher_lr,42,False
22,0.4561193411548932,0.5103543400764465,0.6236491406770044,A1_GAT_MPNN_D,rel-trial,higher_lr,42,False
23,0.45530543600519496,0.5049357414245605,0.618370793293394,A1_GAT_MPNN_D,rel-trial,higher_lr,42,True
1,0.5030619911849499,0.504328191280365,0.5865153078775369,A1_GAT_MPNN_D,rel-trial,higher_lr,43,False
2,0.49631672849257785,0.5073902606964111,0.5868905776026518,A1_GAT_MPNN_D,rel-trial,higher_lr,43,False
3,0.49293943867087364,0.5149554014205933,0.5956155987115739,A1_GAT_MPNN_D,rel-trial,higher_lr,43,False
4,0.4906402851144473,0.5021354854106903,0.6079816296534564,A1_GAT_MPNN_D,rel-trial,higher_lr,43,False
5,0.48566142717997235,0.5144268572330475,0.6323518243022888,A1_GAT_MPNN_D,rel-trial,higher_lr,43,False
6,0.48703466604153317,0.5005438327789307,0.6424885743771194,A1_GAT_MPNN_D,rel-trial,higher_lr,43,False
7,0.48139915987849236,0.49270088970661163,0.6361760015010789,A1_GAT_MPNN_D,rel-trial,higher_lr,43,False
8,0.4790372463564078,0.4956136792898178,0.6414565826330532,A1_GAT_MPNN_D,rel-trial,higher_lr,43,False
9,0.4778659629325072,0.49506115913391113,0.6377574953426346,A1_GAT_MPNN_D,rel-trial,higher_lr,43,False
10,0.4749882407486439,0.5010969340801239,0.6299929860301378,A1_GAT_MPNN_D,rel-trial,higher_lr,43,False
11,0.4738495002190272,0.49617546796798706,0.6320882419953627,A1_GAT_MPNN_D,rel-trial,higher_lr,43,False
12,0.4715864496926467,0.4922742396593094,0.6431229589124327,A1_GAT_MPNN_D,rel-trial,higher_lr,43,False
13,0.4705292582511902,0.49318376183509827,0.635264632168657,A1_GAT_MPNN_D,rel-trial,higher_lr,43,False
14,0.4711557713647683,0.495297372341156,0.6307747979574605,A1_GAT_MPNN_D,rel-trial,higher_lr,43,False
15,0.46528389553229016,0.4987083077430725,0.627267813026327,A1_GAT_MPNN_D,rel-trial,higher_lr,43,False
16,0.46647778277595836,0.4988522082567215,0.6152770518095596,A1_GAT_MPNN_D,rel-trial,higher_lr,43,False
17,0.4629809881250064,0.4964887946844101,0.638664397178329,A1_GAT_MPNN_D,rel-trial,higher_lr,43,False
18,0.4595220523575942,0.5065397918224335,0.6117477293947883,A1_GAT_MPNN_D,rel-trial,higher_lr,43,False
19,0.4608413490156333,0.49821609258651733,0.6240020729184816,A1_GAT_MPNN_D,rel-trial,higher_lr,43,False
20,0.45628541087110835,0.4996715933084488,0.6264368586350011,A1_GAT_MPNN_D,rel-trial,higher_lr,43,True
1,0.5037508929769198,0.5051701366901398,0.5932612279361505,A1_GAT_MPNN_D,rel-trial,higher_lr,44,False
2,0.4972001301745574,0.508077472448349,0.591353606833483,A1_GAT_MPNN_D,rel-trial,higher_lr,44,False
3,0.4926995138327281,0.5032486915588379,0.5944451145689535,A1_GAT_MPNN_D,rel-trial,higher_lr,44,False
4,0.4919271692633629,0.512656033039093,0.6241025915948516,A1_GAT_MPNN_D,rel-trial,higher_lr,44,False
5,0.48793122669061023,0.5044947564601898,0.620374465575704,A1_GAT_MPNN_D,rel-trial,higher_lr,44,False
6,0.48345933109521866,0.50618776679039,0.6371320458007765,A1_GAT_MPNN_D,rel-trial,higher_lr,44,False
7,0.48217898234725,0.4943939447402954,0.6365914786967418,A1_GAT_MPNN_D,rel-trial,higher_lr,44,False
8,0.4811358538766702,0.4978283941745758,0.6458503656646071,A1_GAT_MPNN_D,rel-trial,higher_lr,44,False
9,0.4773385326067607,0.49486425518989563,0.6384901648059542,A1_GAT_MPNN_D,rel-trial,higher_lr,44,False
10,0.47793595865368843,0.49780885875225067,0.6363010914094506,A1_GAT_MPNN_D,rel-trial,higher_lr,44,False
11,0.47411857172846794,0.49528832733631134,0.6311992101465786,A1_GAT_MPNN_D,rel-trial,higher_lr,44,False
12,0.47422385588288307,0.48891760408878326,0.6499895013826902,A1_GAT_MPNN_D,rel-trial,higher_lr,44,False
13,0.4700954792400201,0.4884036034345627,0.6479969978421991,A1_GAT_MPNN_D,rel-trial,higher_lr,44,False
14,0.469083475569884,0.4965065121650696,0.6454639271976733,A1_GAT_MPNN_D,rel-trial,higher_lr,44,False
15,0.4676031942168872,0.4972286969423294,0.6403709809282565,A1_GAT_MPNN_D,rel-trial,higher_lr,44,False
16,0.46690168728431064,0.4923907667398453,0.643341866252083,A1_GAT_MPNN_D,rel-trial,higher_lr,44,False
17,0.4645323355992635,0.5052394270896912,0.6275269278365254,A1_GAT_MPNN_D,rel-trial,higher_lr,44,False
18,0.4641093884905179,0.4901587814092636,0.6423902894491131,A1_GAT_MPNN_D,rel-trial,higher_lr,44,False
19,0.4579443298280239,0.4935128837823868,0.6397634013733086,A1_GAT_MPNN_D,rel-trial,higher_lr,44,False
20,0.4559563261767228,0.49462345242500305,0.6352556971752019,A1_GAT_MPNN_D,rel-trial,higher_lr,44,True
1,1.0576768153905869,0.7667189786831538,0.8281745726762056,A2_homo_hetero_longer,rel-stack,SAGE-homo,42,False
2,0.9991890721321106,0.7929712422192097,0.8552084073014167,A2_homo_hetero_longer,rel-stack,SAGE-homo,42,False
3,0.9835939277410507,0.7588307653509435,0.8621676576879723,A2_homo_hetero_longer,rel-stack,SAGE-homo,42,False
4,0.9716561260223389,0.7916319808434873,0.8611707052637414,A2_homo_hetero_longer,rel-stack,SAGE-homo,42,False
5,0.9719473309516907,0.8333767003246716,0.8701976812985472,A2_homo_hetero_longer,rel-stack,SAGE-homo,42,False
6,0.9579450381994248,0.7746877395326183,0.8660795485699871,A2_homo_hetero_longer,rel-stack,SAGE-homo,42,False
7,0.9654185118675231,0.7129146577346892,0.8704944510060448,A2_homo_hetero_longer,rel-stack,SAGE-homo,42,False
8,0.9541335898637772,0.7471395377956686,0.8684144131908633,A2_homo_hetero_longer,rel-stack,SAGE-homo,42,False
9,0.9433464545011521,0.7616252785637265,0.8718718203045872,A2_homo_hetero_longer,rel-stack,SAGE-homo,42,False
10,0.9453855555057525,0.7157566013435522,0.8673100841539219,A2_homo_hetero_longer,rel-stack,SAGE-homo,42,False
11,0.9411709070205688,0.6853651478886604,0.8739506351062153,A2_homo_hetero_longer,rel-stack,SAGE-homo,42,False
12,0.9357660305500031,0.7948678891573634,0.8706809605729414,A2_homo_hetero_longer,rel-stack,SAGE-homo,42,False
13,0.9319871637821198,0.7088797239675408,0.871792115616423,A2_homo_hetero_longer,rel-stack,SAGE-homo,42,False
14,0.9226313160657883,0.7197620808368638,0.8732363877336173,A2_homo_hetero_longer,rel-stack,SAGE-homo,42,False
15,0.9240409189462662,0.7017751061135814,0.8749203033906853,A2_homo_hetero_longer,rel-stack,SAGE-homo,42,False
16,0.917122424006462,0.7494348617536681,0.8776750395019706,A2_homo_hetero_longer,rel-stack,SAGE-homo,42,False
17,0.9179515509605408,0.6911423910586607,0.8697968062910146,A2_homo_hetero_longer,rel-stack,SAGE-homo,42,False
18,0.9204171628952026,0.738994965950648,0.8797399636537275,A2_homo_hetero_longer,rel-stack,SAGE-homo,42,False
19,0.90919258248806,0.7613771580869243,0.8778859670813375,A2_homo_hetero_longer,rel-stack,SAGE-homo,42,False
20,0.9167027696371078,0.7188156339384261,0.8799364139344457,A2_homo_hetero_longer,rel-stack,SAGE-homo,42,False
21,0.9117976049184799,0.704675629734993,0.87809779203447,A2_homo_hetero_longer,rel-stack,SAGE-homo,42,False
22,0.9128927628993988,0.7484293360085714,0.8771684334812648,A2_homo_hetero_longer,rel-stack,SAGE-homo,42,False
23,0.9066886767148972,0.765591451632125,0.879848339558,A2_homo_hetero_longer,rel-stack,SAGE-homo,42,False
24,0.8978032851219178,0.7749951146543026,0.8811119437380754,A2_homo_hetero_longer,rel-stack,SAGE-homo,42,False
25,0.9058314199447632,0.6769025994553453,0.8791674938787302,A2_homo_hetero_longer,rel-stack,SAGE-homo,42,False
26,0.8998807866573334,0.7236345978010268,0.8794433952960224,A2_homo_hetero_longer,rel-stack,SAGE-homo,42,False
27,0.906084957242012,0.7929729578040895,0.8807475080713549,A2_homo_hetero_longer,rel-stack,SAGE-homo,42,False
28,0.8985109180212021,0.7155046803610665,0.8818408548443145,A2_homo_hetero_longer,rel-stack,SAGE-homo,42,False
29,0.9011476953029632,0.7368119499158292,0.8801681576022196,A2_homo_hetero_longer,rel-stack,SAGE-homo,42,False
30,0.8945058529376984,0.746909808190096,0.8814343122129978,A2_homo_hetero_longer,rel-stack,SAGE-homo,42,True
1,1.0717393182516097,0.877132117393471,0.8334362379920142,A2_homo_hetero_longer,rel-stack,SAGE-hetero,42,False
2,1.0220986579656601,0.8117911638248534,0.8409577663739554,A2_homo_hetero_longer,rel-stack,SAGE-hetero,42,False
3,0.9968328659534454,0.803911439897049,0.8541423322392183,A2_homo_hetero_longer,rel-stack,SAGE-hetero,42,False
4,0.9813956623077392,0.8108048919765722,0.8617675159914118,A2_homo_hetero_longer,rel-stack,SAGE-hetero,42,False
5,0.9836382640600204,0.7771310272316138,0.8649070638712414,A2_homo_hetero_longer,rel-stack,SAGE-hetero,42,False
6,0.974230926156044,0.7422384701314426,0.8582244109259517,A2_homo_hetero_longer,rel-stack,SAGE-hetero,42,False
7,0.9602965148687362,0.8284901637761366,0.8642097795971977,A2_homo_hetero_longer,rel-stack,SAGE-hetero,42,False
8,0.9680410023927689,0.7775525663580213,0.8623787791597318,A2_homo_hetero_longer,rel-stack,SAGE-hetero,42,False
9,0.9593391329050064,0.7652861208078408,0.8605421583286799,A2_homo_hetero_longer,rel-stack,SAGE-hetero,42,False
10,0.9547371526956558,0.7239386916515373,0.8683418104330285,A2_homo_hetero_longer,rel-stack,SAGE-hetero,42,False
11,0.9509980635643005,0.7542074336892083,0.8663132212184878,A2_homo_hetero_longer,rel-stack,SAGE-hetero,42,False
12,0.9400297975540162,0.7579111185457025,0.8700028443019676,A2_homo_hetero_longer,rel-stack,SAGE-hetero,42,False
13,0.949507511138916,0.7134822796852816,0.868705323867984,A2_homo_hetero_longer,rel-stack,SAGE-hetero,42,False
14,0.9334215495586395,0.7476314822477954,0.8683912604505452,A2_homo_hetero_longer,rel-stack,SAGE-hetero,42,False
15,0.9381920280456543,0.7327899209090641,0.8709340622335021,A2_homo_hetero_longer,rel-stack,SAGE-hetero,42,False
16,0.9479287004470826,0.7525901673805147,0.865825069776279,A2_homo_hetero_longer,rel-stack,SAGE-hetero,42,False
17,0.933403778553009,0.7117161374716532,0.8687275344901382,A2_homo_hetero_longer,rel-stack,SAGE-hetero,42,False
18,0.9342901844978333,0.7072332898775736,0.875966412508044,A2_homo_hetero_longer,rel-stack,SAGE-hetero,42,False
19,0.9217294939756393,0.7116317601785773,0.8730622524786495,A2_homo_hetero_longer,rel-stack,SAGE-hetero,42,False
20,0.9292258234024048,0.7837437989101523,0.8764697372728748,A2_homo_hetero_longer,rel-stack,SAGE-hetero,42,False
21,0.922662084698677,0.7640861592122487,0.8743710584442034,A2_homo_hetero_longer,rel-stack,SAGE-hetero,42,False
22,0.9196968955993652,0.7173507979937962,0.8744162652012818,A2_homo_hetero_longer,rel-stack,SAGE-hetero,42,False
23,0.9170872305631638,0.7132856810376758,0.873839385617252,A2_homo_hetero_longer,rel-stack,SAGE-hetero,42,False
24,0.9242884541749954,0.7638025120610282,0.8738461569361944,A2_homo_hetero_longer,rel-stack,SAGE-hetero,42,False
25,0.9161331017017365,0.750370419096379,0.8749335924769791,A2_homo_hetero_longer,rel-stack,SAGE-hetero,42,False
26,0.9226360961198806,0.7088612502529508,0.8733624824196152,A2_homo_hetero_longer,rel-stack,SAGE-hetero,42,True
1,1.057354628920555,0.7776373816387994,0.849549066202554,A2_homo_hetero_longer,rel-stack,SAGE-homo,43,False
2,0.9872261003255844,0.7489645140511649,0.8475429187895585,A2_homo_hetero_longer,rel-stack,SAGE-homo,43,False
3,0.976783672451973,0.6920569398928256,0.848886941082371,A2_homo_hetero_longer,rel-stack,SAGE-homo,43,False
4,0.9754971410036087,0.7554254883102008,0.8518540167073694,A2_homo_hetero_longer,rel-stack,SAGE-homo,43,False
5,0.9677547459602356,0.6910826084869248,0.863755658755693,A2_homo_hetero_longer,rel-stack,SAGE-homo,43,False
6,0.9726682955026626,0.7270603343134835,0.8697479429222755,A2_homo_hetero_longer,rel-stack,SAGE-homo,43,False
