check,dataset,variant,seed,AUROC,AUPRC,precision,recall,f1,threshold,train_s,n_epochs,best_epoch,converged
A1_GAT_MPNN_D,rel-trial,longer,42,0.6525449095108538,0.7149052411818928,0.6008724100327154,0.982174688057041,0.7456021646169649,0.23721474409103394,77.95292544364929,18,10,True
A1_GAT_MPNN_D,rel-trial,longer,43,0.6414521151363257,0.6986230452476585,0.610730593607306,0.9536541889483066,0.7446068192874217,0.2393541932106018,80.80998158454895,21,13,True
A1_GAT_MPNN_D,rel-trial,longer,44,0.6511510505318556,0.7162360128351415,0.6022222222222222,0.966131907308378,0.7419575628397189,0.2956179976463318,84.07828378677368,21,13,True
A1_GAT_MPNN_D,rel-trial,higher_lr,42,0.6530408016476129,0.7047985370017581,0.6021857923497268,0.982174688057041,0.7466124656534221,0.2847819924354553,94.14266109466553,23,15,True
A1_GAT_MPNN_D,rel-trial,higher_lr,43,0.6431229589124327,0.7075140577563548,0.5997794928335171,0.9696969696969697,0.7411444136967135,0.258766233921051,76.97822976112366,20,12,True
A1_GAT_MPNN_D,rel-trial,higher_lr,44,0.6499895013826902,0.7112982911474218,0.6039823008849557,0.9732620320855615,0.7453924909949852,0.23195068538188934,78.07699251174927,20,12,True
A2_homo_hetero_longer,rel-stack,SAGE-homo,42,0.8818332358676049,0.3170271672802494,0.33831217326362956,0.3757776856076317,0.35606209421546564,0.8846164345741272,1841.2596642971039,30,28,False
A2_homo_hetero_longer,rel-stack,SAGE-hetero,42,0.8763751600438768,0.3028262484111927,0.33770744886144344,0.3629199502281211,0.34986005547825644,0.9201696515083313,2165.5422976017,26,20,True
A2_homo_hetero_longer,rel-stack,SAGE-homo,43,0.8794657326939717,0.3168795071733112,0.36792025373810605,0.33678971381169637,0.35166738798083713,0.9026413559913635,1708.3559429645538,28,22,True
A2_homo_hetero_longer,rel-stack,SAGE-hetero,43,0.877202513797967,0.3020864957947624,0.3342476489028213,0.35379510576524265,0.3437437029056021,0.8914445042610168,1660.9315602779388,22,16,True
A2_homo_hetero_longer,rel-stack,SAGE-homo,44,0.87959470096466,0.3062091950173791,0.32278936017253773,0.37245956034840316,0.3458501824411232,0.8809714317321777,1302.250185251236,23,17,True
A2_homo_hetero_longer,rel-stack,SAGE-hetero,44,0.8777287253225259,0.3096422089365277,0.3476171405686824,0.36001659062629615,0.3537082309589963,0.8863110542297363,2104.8693120479584,30,26,False
A2_mean_aggregation,rel-stack,SAGE-hetero-mean,42,0.8643077051986683,0.2712675988832381,0.32448377581120946,0.3193695562007466,0.3219063540150817,0.8783630728721619,750.2934956550598,10,7,False
A2_mean_aggregation,rel-stack,SAGE-hetero-mean,43,0.8677812302389784,0.28954217908380686,0.33320126782884313,0.3488179178763998,0.34083079990553067,0.8975812792778015,756.991917848587,10,10,False
A2_mean_aggregation,rel-stack,SAGE-hetero-mean,44,0.8655868232559527,0.27813905481855233,0.30234968901174847,0.3629199502281211,0.32987747358520036,0.8913580179214478,759.4541826248169,10,10,False
A2_mean_aggregation,rel-trial,SAGE-hetero-mean,42,0.6862030298562807,0.7539432857525831,0.615296803652968,0.9607843137254902,0.7501739730800452,0.24989770352840424,41.158246755599976,10,9,False
A2_mean_aggregation,rel-trial,SAGE-hetero-mean,43,0.6896564048266834,0.7568374496610288,0.6121281464530892,0.9536541889483066,0.7456445988269236,0.20116552710533142,22.07289743423462,6,3,True
A2_mean_aggregation,rel-trial,SAGE-hetero-mean,44,0.6792471374514719,0.7497037507310779,0.6265206812652068,0.9180035650623886,0.7447577724751467,0.3645857572555542,22.195472717285156,6,3,True
