dataset,relation,seed,AUROC,drop
rel-stack,__baseline__,42,0.8771519029118943,0.0
rel-stack,f2p_PostId,42,0.8767849267576706,0.0003669761542236527
rel-stack,f2p_RelatedPostId,42,0.8772686509902479,-0.00011674807835360124
rel-stack,f2p_PostId,42,0.8738312645089615,0.0033206384029327296
rel-stack,f2p_UserId,42,0.8455510398680196,0.03160086304387466
rel-stack,f2p_OwnerUserId,42,0.8592131676678947,0.017938735243999582
rel-stack,f2p_ParentId,42,0.8686488266077356,0.008503076304158697
rel-stack,f2p_UserId,42,0.8675518257089152,0.009600077202979063
rel-stack,f2p_PostId,42,0.8723953645658481,0.0047565383460461685
rel-stack,f2p_PostId,42,0.8586725907056826,0.018479312206211684
rel-stack,f2p_UserId,42,0.8760062151361281,0.0011456877757661799
rel-stack,f2p_UserId,42,0.8410051158905519,0.03614678702134233
rel-stack,__baseline__,43,0.8737477913481406,0.0
rel-stack,f2p_PostId,43,0.8717988521341663,0.0019489392139743211
rel-stack,f2p_RelatedPostId,43,0.8747886206265004,-0.0010408292783598005
rel-stack,f2p_PostId,43,0.8680776792782879,0.005670112069852684
rel-stack,f2p_UserId,43,0.8599324612143002,0.013815330133840398
rel-stack,f2p_OwnerUserId,43,0.8506166203156958,0.023131171032444775
rel-stack,f2p_ParentId,43,0.8684615563860679,0.0052862349620727
rel-stack,f2p_UserId,43,0.8524457837470317,0.021302007601108897
rel-stack,f2p_PostId,43,0.8705245391280989,0.003223252220041717
rel-stack,f2p_PostId,43,0.8609561956467111,0.012791595701429515
rel-stack,f2p_UserId,43,0.8718367083809245,0.0019110829672160934
rel-stack,f2p_UserId,43,0.8416242217575732,0.03212356959056739
rel-stack,__baseline__,44,0.8722077910765917,0.0
rel-stack,f2p_PostId,44,0.8683244371774901,0.0038833538991016603
rel-stack,f2p_RelatedPostId,44,0.8723366499720843,-0.00012885889549252294
rel-stack,f2p_PostId,44,0.8717735392337304,0.0004342518428613884
rel-stack,f2p_UserId,44,0.8312512497048299,0.040956541371761856
rel-stack,f2p_OwnerUserId,44,0.8541928262926954,0.018014964783896303
rel-stack,f2p_ParentId,44,0.8640276897825326,0.008180101294059106
rel-stack,f2p_UserId,44,0.8603858537164325,0.01182193736015924
rel-stack,f2p_PostId,44,0.8666430644937256,0.0055647265828661086
rel-stack,f2p_PostId,44,0.8570273590667415,0.015180432009850198
rel-stack,f2p_UserId,44,0.8713016424371026,0.0009061486394891238
rel-stack,f2p_UserId,44,0.8187543604969765,0.05345343057961527
