dataset,relation,seed,AUROC,drop
rel-trial,__baseline__,42,0.6853586729747722,0.0
rel-trial,f2p_nct_id,42,0.6799664044246088,0.005392268550163393
rel-trial,f2p_facility_id,42,0.6786752978703443,0.006683375104427847
rel-trial,f2p_nct_id,42,0.6854122829355027,-5.360996073056068e-05
rel-trial,f2p_nct_id,42,0.6880123660309418,-0.0026536930561696925
rel-trial,f2p_intervention_id,42,0.6877041087567404,-0.0023454357819682192
rel-trial,f2p_nct_id,42,0.6541264033524096,0.031232269622362585
rel-trial,f2p_nct_id,42,0.6854971653733265,-0.00013849239855434625
rel-trial,f2p_nct_id,42,0.6853631404714996,-4.467496727444953e-06
rel-trial,f2p_nct_id,42,0.685318465504224,4.02074705481148e-05
rel-trial,f2p_outcome_id,42,0.6853050630140414,5.3609960730782724e-05
rel-trial,f2p_nct_id,42,0.6847198209427312,0.0006388520320409485
rel-trial,f2p_nct_id,42,0.6635304839639206,0.021828189010851595
rel-trial,f2p_condition_id,42,0.6654760787887722,0.019882594185999913
rel-trial,f2p_nct_id,42,0.6787557128114403,0.006602960163331839
rel-trial,f2p_sponsor_id,42,0.6796224071765867,0.005736265798185425
rel-trial,__baseline__,43,0.6908224214725762,0.0
rel-trial,f2p_nct_id,43,0.687788991194564,0.0030334302780121725
rel-trial,f2p_facility_id,43,0.6873377740250805,0.00348464744749577
rel-trial,f2p_nct_id,43,0.6907598765183904,6.254495418578365e-05
rel-trial,f2p_nct_id,43,0.6920956580399306,-0.001273236567354341
rel-trial,f2p_intervention_id,43,0.6918722832035527,-0.0010498617309764313
rel-trial,f2p_nct_id,43,0.6520177448970019,0.03880467657557429
rel-trial,f2p_nct_id,43,0.6908313564660313,-8.93499345511195e-06
rel-trial,f2p_nct_id,43,0.6908134864791211,8.93499345511195e-06
rel-trial,f2p_nct_id,43,0.6909117714071276,-8.934993455134155e-05
rel-trial,f2p_outcome_id,43,0.6909117714071276,-8.934993455134155e-05
rel-trial,f2p_nct_id,43,0.688132988442586,0.0026894330299902514
rel-trial,f2p_nct_id,43,0.6750923654948423,0.015730055977733914
rel-trial,f2p_condition_id,43,0.6709912034989435,0.019831217973632742
rel-trial,f2p_nct_id,43,0.6888120479451749,0.002010373527401299
rel-trial,f2p_sponsor_id,43,0.689812767212148,0.0010096542604282055
rel-trial,__baseline__,44,0.6817980780829079,0.0
rel-trial,f2p_nct_id,44,0.6758295024548895,0.0059685756280184465
rel-trial,f2p_facility_id,44,0.6741363211951448,0.00766175688776316
rel-trial,f2p_nct_id,44,0.6817936105861802,4.46749672777802e-06
rel-trial,f2p_nct_id,44,0.6865202221239373,-0.00472214404102933
rel-trial,f2p_intervention_id,44,0.6865246896206648,-0.004726611537756886
rel-trial,f2p_nct_id,44,0.6564316316638298,0.025366446419078148
rel-trial,f2p_nct_id,44,0.6821018678603817,-0.0003037897774738063
rel-trial,f2p_nct_id,44,0.6820705953832888,-0.0002725173003809145
rel-trial,f2p_nct_id,44,0.6819321029847345,-0.00013402490182656823
rel-trial,f2p_outcome_id,44,0.6821242053440195,-0.0003261272611115862
rel-trial,f2p_nct_id,44,0.6841435138648762,-0.0023454357819682192
rel-trial,f2p_nct_id,44,0.6711609683745907,0.010637109708317216
rel-trial,f2p_condition_id,44,0.6717104704720803,0.01008760761082761
rel-trial,f2p_nct_id,44,0.6750566255210217,0.006741452561886185
rel-trial,f2p_sponsor_id,44,0.6750878979981149,0.0067101800847930715
