epoch,train_loss,val_loss,val_AUROC,aspect,dataset,variant,seed,done
1,1.070535388469696,0.8515760504773685,0.8352407572030887,A1,rel-stack,SAGE-MPNN-D,42,False
2,1.0108536643981934,0.7890518195927143,0.8434194117616031,A1,rel-stack,SAGE-MPNN-D,42,False
3,0.9912805199623108,0.7496442464845521,0.8484512251033655,A1,rel-stack,SAGE-MPNN-D,42,False
4,0.9893189685344695,0.8474764823913574,0.844583143958882,A1,rel-stack,SAGE-MPNN-D,42,False
5,0.9775945273637772,0.7083247401529834,0.8585952674138275,A1,rel-stack,SAGE-MPNN-D,42,False
6,0.978162826538086,0.7568270915320942,0.858204971970692,A1,rel-stack,SAGE-MPNN-D,42,False
7,0.970555934906006,0.7428808173253423,0.8572120639429073,A1,rel-stack,SAGE-MPNN-D,42,False
8,0.9647898277044296,0.7377063275447914,0.8660680094868266,A1,rel-stack,SAGE-MPNN-D,42,False
9,0.9587705980539322,0.7545808028607142,0.8595741828739453,A1,rel-stack,SAGE-MPNN-D,42,False
10,0.9538244917392732,0.7479079177691823,0.8680359750132762,A1,rel-stack,SAGE-MPNN-D,42,True
1,1.07945072388649,0.8875237554311752,0.8403186498176961,A1,rel-stack,SAGE-MPNN-U,42,False
2,1.0197426832914351,0.8811595432815098,0.8361787514251651,A1,rel-stack,SAGE-MPNN-U,42,False
3,1.0064928859472275,0.8018457250935691,0.8404701990947243,A1,rel-stack,SAGE-MPNN-U,42,False
4,0.984772262096405,0.7156781023811727,0.8558283036528078,A1,rel-stack,SAGE-MPNN-U,42,False
5,0.977904030919075,0.7309941828605675,0.8574412323219792,A1,rel-stack,SAGE-MPNN-U,42,False
6,0.9784806345701218,0.7239365082766328,0.8594926188074516,A1,rel-stack,SAGE-MPNN-U,42,False
7,0.9643580667972564,0.8058028132432983,0.8545593773751351,A1,rel-stack,SAGE-MPNN-U,42,False
8,0.9649316854476928,0.7588355573160308,0.8664999221919772,A1,rel-stack,SAGE-MPNN-U,42,False
9,0.9554348344802857,0.7543085985595271,0.8582883282989174,A1,rel-stack,SAGE-MPNN-U,42,False
10,0.958382305264473,0.7488858107300032,0.8632331013569947,A1,rel-stack,SAGE-MPNN-U,42,True
1,1.0743670991659164,0.8615007164577643,0.8305372335116235,A1,rel-stack,SAGE-Dir-GNN,42,False
2,1.0275840488672257,0.836679420655682,0.8450821707756765,A1,rel-stack,SAGE-Dir-GNN,42,False
3,0.9942398972511292,0.8504909340824399,0.8430581628903613,A1,rel-stack,SAGE-Dir-GNN,42,False
4,0.9774826283454896,0.7605017093675477,0.8486912390274245,A1,rel-stack,SAGE-Dir-GNN,42,False
5,0.976164006471634,0.7438650010597139,0.8510226409290326,A1,rel-stack,SAGE-Dir-GNN,42,False
6,0.9787220351696014,0.7243089227094537,0.8654111095180447,A1,rel-stack,SAGE-Dir-GNN,42,False
7,0.972692043185234,0.8209275677800179,0.8671850707908831,A1,rel-stack,SAGE-Dir-GNN,42,False
8,0.9633962477445602,0.8216850136717161,0.8636037689240778,A1,rel-stack,SAGE-Dir-GNN,42,False
9,0.952892251610756,0.7151341807274592,0.8696518617843348,A1,rel-stack,SAGE-Dir-GNN,42,False
10,0.9474373453855516,0.7652479225680942,0.8697898535086793,A1,rel-stack,SAGE-Dir-GNN,42,True
1,1.053880173921585,0.8420123780767123,0.8416246219713581,A1,rel-stack,GAT-MPNN-D,42,False
